CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
AR-500,Little Rock/Central Arkansas CoC,Sheltered and Unsheltered Count,2017,456,65,34,357,172,284,0,0,442,14,200,225,1,7,0,23,550,27,36,487,165,384,1,0,537,13,211,312,1,5,0,21,,
AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered and Unsheltered Count,2017,235,57,15,163,111,123,1,0,222,13,181,22,3,2,6,21,95,0,4,91,25,70,0,0,90,5,80,3,1,2,0,9,,
AR-503,Arkansas  Balance of State  CoC,Sheltered and Unsheltered Count,2017,414,51,28,335,206,208,0,0,402,12,301,108,0,1,0,4,461,12,75,374,173,287,1,0,458,3,323,130,3,0,0,5,,
AR-505,Southeast Arkansas CoC,Sheltered and Unsheltered Count,2017,88,33,7,48,52,36,0,0,87,1,15,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
AR-508,Fort Smith CoC,Sheltered and Unsheltered Count,2017,80,17,3,60,40,40,0,0,79,1,59,14,0,3,0,4,88,3,7,78,21,67,0,0,88,0,77,6,0,4,1,0,,
AZ-500,Arizona Balance of State CoC,Sheltered and Unsheltered Count,2017,1046,187,82,777,488,557,1,0,828,218,719,58,10,204,2,53,722,33,50,639,187,533,2,0,623,99,504,22,1,76,2,117,,
AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,2017,1189,203,121,865,411,770,7,1,801,388,852,170,9,76,11,71,385,1,44,340,83,301,1,0,303,82,288,23,1,37,3,33,,
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered and Unsheltered Count,2017,3546,1159,230,2157,1655,1886,5,0,2549,997,2093,1075,25,167,11,175,2059,24,133,1902,507,1545,6,1,1772,287,1630,263,5,144,17,0,,
CA-500,San Jose/Santa Clara City & County CoC,Sheltered and Unsheltered Count,2017,1946,472,136,1338,732,1210,4,0,941,1005,1304,279,64,124,43,132,5448,664,1955,2829,1672,3763,13,0,3197,2251,2142,790,161,849,181,1325,,
CA-501,San Francisco CoC,Sheltered and Unsheltered Count,2017,2505,347,185,1973,910,1537,57,1,1895,610,733,984,100,42,76,570,4353,101,1039,3213,832,3500,21,0,3372,981,1614,1369,206,167,49,948,,
CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered and Unsheltered Count,2017,1766,404,324,1038,828,931,6,1,1437,329,470,1023,49,34,15,175,3863,76,681,3106,1467,2346,41,9,3240,623,1240,1724,81,134,27,657,,
CA-503,Sacramento City & County CoC,Sheltered and Unsheltered Count,2017,1613,363,124,1126,681,918,14,0,1327,286,747,643,10,48,21,144,2052,7,118,1927,488,1517,0,47,1682,370,1070,481,14,131,10,346,,
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,2017,988,178,60,750,423,558,4,3,738,250,762,54,11,72,8,81,1847,119,371,1357,432,1410,3,2,1400,447,1228,165,18,101,20,315,,
CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2017,696,114,39,543,283,412,1,0,566,130,297,293,9,50,6,41,911,46,39,826,273,635,2,1,749,162,505,242,18,116,16,14,,
CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered and Unsheltered Count,2017,850,265,57,528,378,470,2,0,429,421,686,92,13,10,6,43,2514,270,441,1803,811,1698,5,0,596,1918,1888,259,0,0,0,367,,
CA-507,Marin County CoC,Sheltered and Unsheltered Count,2017,409,92,21,296,174,234,0,1,316,93,287,64,16,11,2,29,708,32,100,576,176,526,6,0,604,104,433,108,3,18,3,143,,
CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered and Unsheltered Count,2017,450,136,37,277,210,237,3,0,240,210,324,14,1,72,3,36,1799,242,434,1123,380,1418,1,0,1219,580,999,139,4,84,4,569,,
CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,2017,160,26,23,111,64,94,2,0,132,28,129,4,1,13,3,10,1078,6,24,1048,347,730,0,1,989,89,897,30,1,139,5,6,,
CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,2017,840,209,56,575,350,486,4,0,527,313,660,109,7,31,9,24,821,34,71,716,270,546,1,4,584,237,657,65,17,40,9,33,,
CA-511,Stockton/San Joaquin County CoC,Sheltered and Unsheltered Count,2017,975,334,46,595,406,567,2,0,652,323,548,316,25,13,8,65,567,9,32,526,199,368,0,0,433,134,405,101,15,25,8,13,,
CA-512,Daly/San Mateo County CoC,Sheltered and Unsheltered Count,2017,616,207,41,368,299,315,1,1,408,208,295,81,63,52,101,24,637,56,8,573,161,473,3,0,457,180,493,94,0,12,12,26,,
CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,2017,354,70,38,246,156,198,0,0,163,191,298,31,8,6,3,8,499,8,37,454,175,324,0,0,305,194,421,26,1,28,5,18,,
CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,2017,487,182,56,249,232,253,0,2,232,255,318,97,18,24,7,23,1529,2,78,1449,423,1094,7,5,893,636,1085,160,45,131,12,96,,
CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered and Unsheltered Count,2017,521,118,29,374,249,264,2,6,459,62,420,44,5,13,1,38,458,10,42,406,127,326,0,5,400,58,373,8,4,43,4,26,,
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,2017,530,113,45,372,214,315,1,0,449,81,389,21,1,54,2,63,404,18,32,354,122,280,1,1,363,41,320,2,5,53,2,22,,
CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,2017,199,52,10,137,89,109,1,0,132,67,158,13,2,18,3,5,116,0,19,97,33,83,0,0,78,38,101,4,2,5,1,3,,
CA-518,Vallejo/Solano County CoC,Sheltered and Unsheltered Count,2017,315,75,45,195,128,186,1,0,257,58,133,129,5,5,10,33,917,38,164,715,236,680,1,0,698,219,438,260,7,26,22,164,,
CA-519,"Chico, Paradise/Butte County CoC",Sheltered and Unsheltered Count,2017,450,79,35,336,185,260,4,1,376,74,321,19,3,27,2,78,745,39,40,666,212,530,1,2,685,60,565,14,6,48,15,97,,
CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,2017,156,3,0,153,81,75,0,0,148,8,118,28,1,6,0,3,298,1,23,274,72,222,4,0,197,101,125,35,8,17,5,108,,
CA-521,"Davis, Woodland/Yolo County CoC",Sheltered and Unsheltered Count,2017,250,80,17,153,124,126,0,0,210,40,150,73,7,1,0,19,209,4,9,196,58,134,4,13,178,31,154,23,0,9,3,20,,
CA-522,Humboldt County CoC,Sheltered and Unsheltered Count,2017,325,61,16,248,101,222,0,2,295,30,275,7,3,14,4,22,434,16,48,370,135,290,1,8,405,29,341,9,2,66,2,14,,
CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered and Unsheltered Count,2017,43,18,2,23,20,23,0,0,32,11,29,2,0,8,1,3,133,17,9,107,42,89,1,1,96,37,106,2,0,16,4,5,,
CA-524,Yuba City & County/Sutter County CoC,Sheltered and Unsheltered Count,2017,287,69,18,200,139,142,1,5,240,47,218,23,5,5,3,33,473,49,29,395,211,223,2,37,406,67,339,19,5,10,4,96,,
CA-525,El Dorado County CoC,Sheltered and Unsheltered Count,2017,106,13,5,88,39,67,0,0,94,12,94,3,0,3,0,6,496,84,28,384,193,303,0,0,490,6,446,24,0,15,0,11,,
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Sheltered and Unsheltered Count,2017,103,39,7,57,51,51,0,1,78,25,90,0,0,4,1,8,264,20,39,205,99,161,0,4,251,13,209,10,0,10,1,34,,
CA-527,Tehama County CoC,Sheltered and Unsheltered Count,2017,68,11,2,55,28,40,0,0,47,21,58,1,0,4,0,5,56,0,1,55,22,34,0,0,53,3,50,0,0,3,0,3,,
CA-529,Lake County CoC,Sheltered and Unsheltered Count,2017,28,9,6,13,18,10,0,0,17,11,21,0,0,4,0,3,373,48,29,296,144,226,3,0,342,31,272,7,1,59,1,33,,
CA-530,"Alpine, Inyo, Mono Counties CoC",Sheltered and Unsheltered Count,2017,5,1,0,4,4,1,0,0,5,0,5,0,0,0,0,0,116,10,5,101,40,76,0,0,111,5,109,2,2,2,0,1,,
CA-600,Los Angeles City & County CoC,Sheltered and Unsheltered Count,2017,13972,4065,1523,8384,6189,7696,84,3,9552,4420,5554,6996,120,326,109,867,38470,726,1676,36068,10157,27801,379,133,24535,13935,15535,19669,773,1243,233,1017,,
CA-601,San Diego City and County CoC,Sheltered and Unsheltered Count,2017,3539,836,345,2358,1448,2081,10,0,2332,1207,2295,876,56,64,40,208,5621,219,1089,4313,1626,3896,37,62,4346,1275,3405,1188,136,224,98,570,,
CA-602,"Santa Ana, Anaheim/Orange County CoC",Sheltered and Unsheltered Count,2017,2208,733,123,1352,1158,1040,5,5,1262,946,1529,343,82,112,34,108,2584,25,98,2461,430,2150,4,0,1753,831,1958,376,83,97,14,56,,
CA-603,Santa Maria/Santa Barbara County CoC,Sheltered and Unsheltered Count,2017,967,188,51,728,380,587,0,0,579,388,787,84,9,27,7,53,893,107,71,715,309,583,1,0,659,234,742,60,11,42,5,33,,
CA-604,Bakersfield/Kern County CoC,Sheltered and Unsheltered Count,2017,541,113,46,382,182,357,2,0,426,115,353,103,5,10,7,63,269,6,22,241,62,207,0,0,207,62,180,27,5,8,10,39,,
CA-606,Long Beach CoC,Sheltered and Unsheltered Count,2017,655,106,31,518,213,438,4,0,471,184,368,217,31,7,10,22,1208,35,58,1115,336,862,8,2,912,296,660,379,29,46,40,54,,
CA-607,Pasadena CoC,Sheltered and Unsheltered Count,2017,228,65,12,151,99,128,1,0,158,70,103,99,4,5,4,13,347,11,23,313,94,248,2,3,267,80,182,124,3,10,2,26,,
CA-608,Riverside City & County CoC,Sheltered and Unsheltered Count,2017,768,165,67,536,326,438,3,1,455,313,536,144,12,27,13,36,1638,13,171,1454,486,1141,8,3,1169,469,1134,287,18,114,27,58,,
CA-609,San Bernardino City & County CoC,Sheltered and Unsheltered Count,2017,687,246,61,380,356,331,0,0,426,261,391,234,13,8,4,37,1179,40,108,1031,324,849,3,3,875,304,783,205,11,25,11,144,,
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Sheltered and Unsheltered Count,2017,488,70,37,381,157,331,0,0,258,230,395,49,3,8,3,30,664,29,25,610,173,488,3,0,431,233,474,59,5,27,6,93,,
CA-612,Glendale CoC,Sheltered and Unsheltered Count,2017,111,54,2,55,62,47,2,0,57,54,58,33,5,5,0,10,57,8,1,48,19,38,0,0,37,20,32,11,4,2,0,8,,
CA-613,Imperial County CoC,Sheltered and Unsheltered Count,2017,128,47,6,75,66,61,0,1,5,123,127,1,0,0,0,0,1026,31,18,977,270,750,6,0,637,389,940,34,4,22,8,18,,
CA-614,San Luis Obispo County CoC,Sheltered and Unsheltered Count,2017,303,73,19,211,155,148,0,0,220,83,260,8,5,10,1,19,822,30,168,624,225,597,0,0,696,126,641,57,10,69,10,35,,
CO-500,Colorado Balance of State CoC,Sheltered and Unsheltered Count,2017,1511,342,108,1061,556,952,2,1,1071,440,1214,89,13,94,3,98,2508,507,222,1779,1068,1434,4,2,1593,915,2258,102,3,84,6,55,,
CO-503,Metropolitan Denver CoC,Sheltered and Unsheltered Count,2017,4612,978,347,3287,1641,2944,13,14,3587,1025,2720,1228,19,240,18,387,894,55,123,716,227,652,11,4,720,174,607,136,9,72,7,63,,
CO-504,Colorado Springs/El Paso County CoC,Sheltered and Unsheltered Count,2017,958,259,68,631,392,561,3,2,773,185,625,203,5,31,6,88,457,23,45,389,130,323,4,0,398,59,354,30,2,25,5,41,,
CT-503,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC",Sheltered and Unsheltered Count,2017,696,219,56,421,316,379,1,0,464,232,307,340,15,4,9,21,82,0,19,63,17,65,0,0,68,14,34,47,1,0,0,0,,
CT-505,Connecticut Balance of State CoC,Sheltered and Unsheltered Count,2017,2276,512,141,1623,896,1374,5,1,1616,660,1183,869,17,15,21,171,334,5,43,286,84,236,2,12,267,67,228,87,1,3,13,2,,
DC-500,District of Columbia CoC,Sheltered and Unsheltered Count,2017,6576,2286,648,3642,3023,3525,26,2,6177,399,298,6047,30,20,19,162,897,0,34,863,203,684,10,0,802,95,183,665,10,5,2,32,,
DE-500,Delaware Statewide CoC,Sheltered and Unsheltered Count,2017,936,237,66,633,408,527,1,0,858,78,365,521,4,1,5,40,58,3,3,52,23,35,0,0,54,4,33,23,0,0,0,2,,
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Sheltered and Unsheltered Count,2017,785,132,61,592,303,481,1,0,696,89,613,149,0,3,1,19,662,32,34,596,213,448,1,0,557,105,490,108,4,34,4,22,,
FL-501,Tampa/Hillsborough County CoC,Sheltered and Unsheltered Count,2017,982,307,52,623,499,483,0,0,805,177,390,551,2,4,0,35,567,10,34,523,128,434,0,5,478,89,359,176,2,25,1,4,,
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",Sheltered and Unsheltered Count,2017,1679,261,86,1332,601,1073,5,0,1556,123,1039,558,2,1,0,79,1152,0,30,1122,213,938,0,1,1091,61,677,414,2,24,8,27,,
FL-503,"Lakeland, Winterhaven/Polk County CoC",Sheltered and Unsheltered Count,2017,363,115,22,226,156,206,0,1,322,41,201,135,0,2,0,25,149,1,11,137,38,111,0,0,142,7,100,32,1,5,1,10,,
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",Sheltered and Unsheltered Count,2017,305,120,14,171,155,149,1,0,265,40,185,86,0,1,0,33,448,13,18,417,129,318,0,1,431,17,370,55,0,6,1,16,,
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered and Unsheltered Count,2017,130,60,13,57,78,52,0,0,97,33,104,26,0,0,0,0,271,19,17,235,127,143,1,0,246,25,209,44,5,2,4,7,,
FL-506,Tallahassee/Leon County CoC,Sheltered and Unsheltered Count,2017,950,188,64,698,350,597,3,0,916,34,317,607,7,4,3,12,122,1,21,100,26,96,0,0,118,4,62,56,0,1,0,3,,
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered and Unsheltered Count,2017,1734,438,133,1163,686,1044,4,0,1317,417,747,876,8,6,1,96,340,12,10,318,96,244,0,0,280,60,197,122,3,11,0,7,,
FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered and Unsheltered Count,2017,373,109,30,234,169,204,0,0,351,22,196,168,4,1,0,4,446,8,2,436,119,326,1,0,436,10,275,133,2,10,17,9,,
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered and Unsheltered Count,2017,183,87,25,71,114,69,0,0,152,31,85,81,0,1,0,16,1549,490,27,1032,710,839,0,0,1370,179,939,510,10,13,1,76,,
FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered and Unsheltered Count,2017,1437,310,69,1058,578,855,4,0,1362,75,592,730,5,9,3,98,432,0,37,395,101,319,12,0,407,25,184,212,4,4,1,27,,
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",Sheltered and Unsheltered Count,2017,501,83,45,373,161,339,1,0,490,11,267,215,4,3,0,12,257,3,14,240,57,200,0,0,249,8,152,98,0,3,0,4,,
FL-512,St. Johns County CoC,Sheltered and Unsheltered Count,2017,179,84,10,85,117,62,0,0,159,20,89,65,0,1,0,24,266,11,26,229,66,198,1,1,255,11,196,54,0,5,0,11,,
FL-513,"Palm Bay, Melbourne/Brevard County CoC",Sheltered and Unsheltered Count,2017,592,165,32,395,213,379,0,0,545,47,368,186,7,10,0,21,253,9,14,230,58,195,0,0,241,12,201,33,2,2,1,14,,
FL-514,Ocala/Marion County CoC,Sheltered and Unsheltered Count,2017,290,110,10,170,134,156,0,0,259,31,180,98,0,0,0,12,435,12,31,392,124,310,1,0,403,32,222,75,1,0,0,137,,
FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered and Unsheltered Count,2017,143,35,18,90,60,83,0,0,134,9,116,19,2,1,0,5,193,23,1,169,80,112,1,0,191,2,147,33,0,10,1,2,,
FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered and Unsheltered Count,2017,91,46,4,41,58,33,0,0,76,15,57,30,0,0,0,4,518,124,48,346,160,358,0,0,395,123,387,131,0,0,0,0,,
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered and Unsheltered Count,2017,99,41,10,48,50,49,0,0,97,2,51,34,0,0,0,14,403,43,44,316,114,288,1,0,390,13,218,164,1,2,0,18,,
FL-519,Pasco County CoC,Sheltered and Unsheltered Count,2017,178,45,14,119,83,87,0,8,144,34,127,32,1,4,3,11,2415,490,770,1155,798,1546,12,59,1978,437,2049,269,11,11,36,39,,
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered and Unsheltered Count,2017,282,90,20,172,141,141,0,0,251,31,207,60,2,6,0,7,353,32,13,308,115,238,0,0,326,27,319,32,1,1,0,0,,
FL-600,Miami-Dade County CoC,Sheltered and Unsheltered Count,2017,2710,766,166,1778,934,1766,10,0,1738,972,1065,1594,9,7,2,33,1011,2,38,971,174,832,5,0,685,326,497,511,0,3,0,0,,
FL-601,Ft Lauderdale/Broward County CoC,Sheltered and Unsheltered Count,2017,1493,254,143,1096,557,933,3,0,1335,158,545,921,6,5,1,15,957,15,28,914,215,737,3,2,872,85,537,399,4,12,3,2,,
FL-602,Punta Gorda/Charlotte County CoC,Sheltered and Unsheltered Count,2017,89,16,7,66,25,64,0,0,76,13,70,15,0,0,0,4,133,19,5,109,47,86,0,0,127,6,113,16,0,1,0,3,,
FL-603,"Ft Myers, Cape Coral/Lee County CoC",Sheltered and Unsheltered Count,2017,244,76,10,158,121,123,0,0,167,77,146,90,1,0,0,7,187,4,5,178,53,134,0,0,181,6,144,39,0,3,0,1,,
FL-604,Monroe County CoC,Sheltered and Unsheltered Count,2017,339,41,9,289,85,253,0,1,287,52,304,27,0,1,0,7,292,1,14,277,50,240,2,0,257,35,264,22,1,0,1,4,,
FL-605,West Palm Beach/Palm Beach County CoC,Sheltered and Unsheltered Count,2017,526,192,52,282,272,254,0,0,465,61,189,328,0,2,0,7,1081,15,65,1001,278,800,2,1,922,159,561,474,3,11,3,29,,
FL-606,Naples/Collier County CoC,Sheltered and Unsheltered Count,2017,434,33,78,323,188,243,3,0,264,170,333,49,4,5,11,32,187,31,45,111,134,53,0,0,88,99,141,12,1,2,1,30,,
GA-500,Atlanta CoC,Sheltered and Unsheltered Count,2017,2891,299,195,2397,777,2076,37,1,2813,78,314,2490,10,17,5,55,681,5,22,654,138,537,6,0,659,22,57,570,3,11,1,39,,
GA-501,Georgia Balance of State CoC,Sheltered and Unsheltered Count,2017,1843,750,172,921,1079,764,0,0,1674,169,563,1164,12,4,1,99,1873,93,118,1662,579,1285,9,0,1806,67,957,819,2,25,5,65,,
GA-502,Fulton County CoC,Sheltered and Unsheltered Count,2017,203,43,4,156,103,99,1,0,200,3,17,181,0,0,0,5,90,5,2,83,20,70,0,0,90,0,18,72,0,0,0,0,,
GA-503,Athens-Clarke County CoC,Sheltered and Unsheltered Count,2017,146,37,8,101,72,74,0,0,137,9,48,96,1,1,0,0,93,0,5,88,41,52,0,0,90,3,39,49,0,3,2,0,,
GA-504,Augusta-Richmond County CoC,Sheltered and Unsheltered Count,2017,199,17,3,179,133,66,0,0,197,2,64,127,0,1,1,6,47,0,2,45,40,7,0,0,47,0,13,31,0,0,0,3,,
GA-505,Columbus-Muscogee CoC,Sheltered and Unsheltered Count,2017,246,52,16,178,119,124,0,3,239,7,98,131,0,0,4,13,73,0,2,71,13,60,0,0,72,1,25,45,0,0,0,3,,
GA-506,Marietta/Cobb County CoC,Sheltered and Unsheltered Count,2017,285,105,8,172,134,151,0,0,277,8,88,172,7,0,0,18,118,8,4,106,36,82,0,0,108,10,59,50,0,2,0,7,,
GA-507,Savannah/Chatham County CoC,Sheltered and Unsheltered Count,2017,563,104,70,389,297,266,0,0,543,20,220,331,0,4,0,8,363,1,45,317,98,265,0,0,351,12,164,191,1,3,0,4,,
GA-508,DeKalb County CoC,Sheltered and Unsheltered Count,2017,275,127,7,141,154,121,0,0,270,5,22,245,0,1,0,7,185,0,14,171,45,140,0,0,179,6,39,138,1,1,0,6,,
GU-500,Guam CoC,Sheltered and Unsheltered Count,2017,87,47,4,36,52,35,0,0,87,0,9,0,6,0,67,5,765,303,80,382,357,407,1,0,726,39,6,3,33,0,695,28,,
HI-500,Hawaii Balance of State CoC,Sheltered and Unsheltered Count,2017,785,326,42,417,433,351,1,0,669,116,171,32,36,4,320,222,1476,170,124,1182,519,953,3,1,1293,183,599,39,101,52,514,171,,
HI-501,Honolulu City and County CoC,Sheltered and Unsheltered Count,2017,2635,926,174,1535,1211,1415,9,0,2318,317,381,109,184,17,1188,756,2324,153,157,2014,788,1522,10,4,1975,349,443,75,335,33,879,559,,
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Sheltered and Unsheltered Count,2017,286,89,10,187,114,172,0,0,251,35,155,48,4,46,3,30,2,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,,
IA-501,Iowa Balance of State CoC,Sheltered and Unsheltered Count,2017,1742,650,178,914,838,900,3,1,1617,125,1019,555,12,14,8,134,50,0,3,47,7,43,0,0,43,7,42,7,0,1,0,0,,
IA-502,Des Moines/Polk County CoC,Sheltered and Unsheltered Count,2017,624,90,48,486,215,408,1,0,591,33,393,183,3,8,1,36,52,0,1,51,12,40,0,0,47,5,45,2,0,3,1,1,,
ID-500,Boise/Ada County CoC,Sheltered and Unsheltered Count,2017,722,101,50,571,201,519,2,0,635,87,639,42,2,11,4,24,111,6,7,98,36,75,0,0,102,9,97,5,2,6,1,0,,
ID-501,Idaho Balance of State CoC,Sheltered and Unsheltered Count,2017,676,243,58,375,362,311,3,0,604,72,596,27,4,21,4,24,528,93,38,397,210,316,1,1,428,100,463,1,9,22,6,27,,
IL-500,McHenry County CoC,Sheltered and Unsheltered Count,2017,150,46,13,91,74,75,1,0,130,20,123,19,3,0,0,5,5,0,0,5,1,4,0,0,5,0,5,0,0,0,0,0,,
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",Sheltered and Unsheltered Count,2017,346,103,33,210,177,168,1,0,322,24,138,184,0,6,0,18,35,0,3,32,6,29,0,0,31,4,21,7,0,5,0,2,,
IL-502,"Waukegan, North Chicago/Lake County CoC",Sheltered and Unsheltered Count,2017,201,66,15,120,112,89,0,0,155,46,104,90,0,0,0,7,27,0,1,26,6,21,0,0,26,1,16,11,0,0,0,0,,
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",Sheltered and Unsheltered Count,2017,143,41,15,87,76,67,0,0,126,17,53,75,5,4,0,6,17,3,0,14,6,11,0,0,16,1,11,3,0,0,1,2,,
